name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"lagos,nigeria",5 10 2020,30,24.6,27,36.2,24.6,29.4,24.4,85.8,3,100,8.33,rain,0,0,24.8,75.6,224.6,1013.4,76,10.6,218,18.8,8,,2020-10-05T06:33:36,2020-10-05T18:35:48,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",6 10 2020,28.8,22,25.4,33.2,22,26,23.5,89.4,4.4,100,29.17,rain,0,0,29.9,46.4,248.5,1013.2,76.7,9.3,152.6,13.1,6,,2020-10-06T06:33:29,2020-10-06T18:35:19,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",7 10 2020,27,22,25,30.6,22,25.6,22.7,87.6,16,100,4.17,rain,0,0,27,20.5,174.6,1013.4,74.2,9.4,106.5,9.2,4,,2020-10-07T06:33:22,2020-10-07T18:34:52,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",8 10 2020,28.9,24,25.9,33.4,24,27,24,89.7,0.5,100,4.17,rain,0,0,25.2,18.4,228.1,1013,66.1,9,119.8,10.3,4,,2020-10-08T06:33:15,2020-10-08T18:34:24,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",9 10 2020,29,24.8,26,33.6,24.8,26.9,23.7,86.9,6.5,100,50,rain,0,0,33.5,28.8,234.8,1013.1,68.1,11,206.4,17.8,7,,2020-10-09T06:33:09,2020-10-09T18:33:58,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",10 10 2020,30,23,26.1,35.1,23,27.3,23.8,87.7,0.5,100,16.67,rain,0,0,25.2,14.4,228.1,1013.5,73.4,9.2,172,14.8,6,,2020-10-10T06:33:03,2020-10-10T18:33:31,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",11 10 2020,29,24.7,26.3,33.6,24.7,27.4,24,87.4,8.7,100,37.5,rain,0,0,25.9,14.8,241.5,1013.3,78.8,10.2,164.8,14.3,6,,2020-10-11T06:32:58,2020-10-11T18:33:06,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",12 10 2020,29.1,22.9,26.1,34.3,22.9,27.6,23.8,87.4,0.6,100,16.67,rain,0,0,29.2,37.1,266.5,1012.5,49.5,11.6,218.4,18.9,8,,2020-10-12T06:32:53,2020-10-12T18:32:40,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",13 10 2020,31,22,26.6,37.7,22,28.7,23.5,83.8,17,100,4.17,rain,0,0,28.1,18,240.1,1012.5,59.2,9.9,210.4,18.1,8,,2020-10-13T06:32:49,2020-10-13T18:32:16,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",14 10 2020,27,24.4,25.6,30.1,24.4,25.8,23.9,90.2,6.7,100,20.83,rain,0,0,23.4,13,242.8,1012.9,72,9.4,165.7,14.2,7,,2020-10-14T06:32:45,2020-10-14T18:31:51,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",15 10 2020,30.3,23.9,26.6,35,23.9,28.7,23.9,85.7,4.3,100,37.5,rain,0,0,29.5,50,236.8,1013,54.5,9.6,166.5,14.5,7,,2020-10-15T06:32:41,2020-10-15T18:31:28,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",16 10 2020,29.7,25,26.3,35.1,25,27.6,24.1,88.1,4,100,16.67,rain,0,0,25.9,13.7,242.4,1011.9,71.3,10.4,182.5,15.6,8,,2020-10-16T06:32:38,2020-10-16T18:31:05,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",17 10 2020,28.2,23.9,25.7,33.6,23.9,26.8,23.5,88.1,2.6,100,29.17,rain,0,0,28.1,11.2,169.7,1012.2,71.5,8.8,155.2,13.3,6,,2020-10-17T06:32:36,2020-10-17T18:30:43,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
"lagos,nigeria",18 10 2020,32,23,27.2,39.2,23,30.1,24.2,84.9,0,0,0,,0,0,26.3,16.6,230.6,1011.5,57.1,8.7,237.4,20.4,9,,2020-10-18T06:32:34,2020-10-18T18:30:21,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",19 10 2020,31.1,23.5,26.8,36.4,23.5,28.5,24,85.2,3,100,20.83,rain,0,0,32.4,25.2,268,1012,54,11.8,233.5,20.2,9,,2020-10-19T06:32:33,2020-10-19T18:30:00,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",20 10 2020,32.1,23,26.8,39.2,23,29.5,23.8,84.2,2,100,4.17,rain,0,0,29.2,24.1,232.2,1012.2,58.5,10.7,215.5,18.7,9,,2020-10-20T06:32:32,2020-10-20T18:29:40,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",21 10 2020,30,25,27.3,36.2,25,29.8,24.5,85.2,1.1,100,29.17,rain,0,0,25.9,15.4,235.4,1012.1,43.1,10.1,218.5,18.8,8,,2020-10-21T06:32:32,2020-10-21T18:29:20,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",22 10 2020,33.1,25,28,41.2,25,31.5,24.8,83.6,0.3,100,12.5,rain,0,0,27.4,18,221.7,1012.5,49.3,11.1,209.3,18,7,,2020-10-22T06:32:33,2020-10-22T18:29:02,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",23 10 2020,32.6,25,28,40.6,25,31.9,25,84.5,0.4,100,12.5,rain,0,0,31,28.8,234.5,1012.7,57.8,10.7,218.6,18.9,8,,2020-10-23T06:32:34,2020-10-23T18:28:44,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",24 10 2020,31,25.3,27.5,37.7,25.3,30.9,24.9,86.3,0.4,100,12.5,rain,0,0,28.8,25.2,240.4,1012,68.3,10.9,201.2,17.2,8,,2020-10-24T06:32:36,2020-10-24T18:28:26,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",25 10 2020,30,22,26.5,36.2,22,29,24.2,87.4,29,100,4.17,rain,0,0,25.9,28.2,199.3,1011.3,69.5,9.1,135.9,11.7,5,,2020-10-25T06:32:39,2020-10-25T18:28:10,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",26 10 2020,31,23.9,26.7,37.7,23.9,29.3,24.6,88.6,0.4,100,4.17,rain,0,0,22.3,14.8,230,1010.7,84.5,8.5,186.4,16.2,7,,2020-10-26T06:32:42,2020-10-26T18:27:54,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",27 10 2020,32,24,27.4,40.6,24,30.6,24.7,86.4,0.2,100,4.17,rain,0,0,26.3,13,216.7,1010.3,75.4,10.6,186.3,15.9,6,,2020-10-27T06:32:46,2020-10-27T18:27:39,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
